host_name,ip,cpu,memory,disk,network,processes,connections,attack_type,status,threats,action,offline
DESKTOP-7HIR3KC,192.168.8.146,51.4,83.1,97.0,0.23,335,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,57.8,83.2,97.0,0.37,335,97,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,77.6,83.2,97.0,0.0,337,98,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,58.3,84.2,97.0,0.17,343,99,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,67.7,84.2,97.0,0.06,343,100,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,56.1,84.1,97.0,0.66,342,101,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,100.0,89.1,97.0,0.0,341,97,Unknown,Safe,Unknown,BLOCKED,False
DESKTOP-7HIR3KC,192.168.8.146,100.0,89.8,97.0,0.54,341,97,Unknown,Safe,Unknown,BLOCKED,False
DESKTOP-7HIR3KC,192.168.8.146,8.6,87.4,97.0,0.48,324,97,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,39.8,87.6,97.0,0.22,324,98,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,8.7,87.4,97.0,0.23,324,97,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,49.6,87.7,97.0,0.14,325,98,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,54.7,87.9,97.0,0.21,325,98,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,41.5,87.9,97.0,0.12,325,99,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,31.4,87.8,97.0,1.31,325,97,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,52.7,87.6,97.0,17.88,326,99,Unknown,Safe,Unknown,SAFE,False
